iata,airport,cityid_ppn,state_code,country_code
EYQ,Weiser Air Park,,TX,US
EYW,Key West Intl Airport,800047388,FL,US
EZE,Ministro Pistarini (Ezeiza) Intl Airport,800033713,,AR
EZF,Shannon,,VA,US
EZI,Kewanee Municipal,,IL,US
EZS,Elazig Airport,800085445,,TR
EZZ,Cameron Memorial,,MO,US
FAB,Farnborough,,,UK
FAE,Faroe Islands Airport,800544009,,DK
FAF,Felker Army Airfield,,VA,US
FAI,Fairbanks Intl Airport,800046469,AK,US
FAJ,Diego Jimenez Torres Airport,800051264,PR,US
FAM,Farmington Regional,,MO,US
FAN,Lista,,,NO
FAO,Faro Airport,800019830,,PT
FAR,Hector Intl Airport,800049733,ND,US
FAT,Fresno Yosemite Intl Airport,800046770,CA,US
FAV,Fakarava Airport,800076648,,PF
FAY,Fayetteville Regional Airport/Grannis Field,800049633,NC,US
FBA,Fonte Boa Airport,800517235,,BR
FBE,Paulo Abdala Airport,800036197,,BR
FBG,Simmons Army Airfield,,NC,US
FBL,Faribault Municipal,,MN,US
FBM,Lubumbashi Airport,800511345,,CD
FBS,Friday Harbor Airport,800051012,WA,US
FCA,Glacier Park Intl Airport,800048972,MT,US
FCH,Fresno Chandler Executive,,CA,US
FCI,Chesterfield County,,VA,US
FCM,Flying Cloud,,MN,US
FCO,Leonardo Da Vinci - Fiumicino Airport,800042891,,IT
FCS,Butts Army Airfield (Fort Carson),,CO,US
FCT,Vagabond Army Airfield,,WA,US
FCY,Forrest City Municipal,,AR,US
FDE,Forde Airport Bringeland,800008908,,NO
FDF,Lamentin Airport,800102335,,MQ
FDH,Bodensee Airport,800025566,,DE
FDK,Frederick Municipal,,MD,US
FDR,Frederick Municipal,,OK,US
FDW,Fairfield County,,SC,US
FDY,Findlay,,OH,US
FEG,Fergana Airport,800542925,,UZ
FEL,Furstenfeldbruck,,,DE
FEN,Fernando De Noronha Airport,800013483,,BR
FEP,Albertus,,IL,US
FES,Festus Memorial,,MO,US
FET,Fremont Municipal,,NE,US
FEZ,Fez Airport,800108397,,MA
FFA,First Flight,,NC,US
FFC,Peachtree City -Falcon Field,,GA,US
FFD,Fairford - RAF Station,,,UK
FFM,Fergus Falls Municipal (Einar Mickelson Field),,MN,US
FFO,Wright-Patterson AFB,,OH,US
FFT,Capital City,,KY,US
FFU,Futaleufu,,,CL
FFZ,Falcon Field,,AZ,US
FGI,Fagali`I Airport,800032673,,WS
FHR,Friday Harbor,,WA,US
FHU,Sierra Vista Municipal Airport,800000092,AZ,US
FIH,N Djili Intl Airport,800520843,,CD
FIL,Fillmore Municipal,,UT,US
FIT,Fitchburg Municipal,,MA,US
FIZ,Fitzroy Crossing Airport,,,AU
FJR,Fujairah Intl Airport,800035332,,AE
FKB,Karlsruhe/Baden-Baden Airport,800052363,,DE
FKI,Bangoka Intl Airport,,,CD
FKJ,Fukui,,,JP
FKL,Venango Regional Airport,800050104,PA,US
FKN,Franklin Municipal (John Beverly Rose Field),,VA,US
FKQ,Fakfak Airport,800540875,,ID
FKR,Frankfort Municipal,,IN,US
FKS,Fukushima Airport,800543941,,JP
FLA,Gustavo Artunduaga Paredes Airport,800551186,,CO
FLD,Fond du Lac County,,WI,US
FLF,Schaferhaus,,,DE
FLG,Flagstaff Pulliam Airport,800046505,AZ,US
FLL,Hollywood Intl Airport,800047348,FL,US
FLN,Hercilio Luz Airport,800036203,,BR
FLO,Florence Regional Airport,800050267,SC,US
FLP,Marion County Regional,,AR,US
FLR,Amerigo Vespucci Airport,800044158,,IT
FLS,Flinders Island Airport,800142332,,AU
FLV,Sherman Army Airfield,,MO,US
FLW,Flores Airport,800019575,,ZO
FLX,Fallon Municipal,,NV,US
FMA,El Pucu / Formosa Intl Airport,800062286,,AR
FME,Tipton,,MD,US
FMH,Otis ANGB,,MA,US
FMI,Kalemie Airport,,,CD
FMM,Memmingen Airport,800024425,,DE
FMN,Four Corners Regional Airport,800049303,NM,US
FMO,Munster Osnabruck Intl Airport,800024730,,DE
FMY,Page Field,,FL,US
FMZ,Fairmont State Airfield,,NE,US
FNA,Lungi Intl Airport,800106718,,SL
FNB,Trollenhagen,,,DE
FNC,Madeira Funchal Airport,800067394,,PT
FNI,Nimes Airport,800029513,,FR
FNL,Loveland Municipal Airport,800047138,CO,US
FNT,Bishop Intl Airport,800048600,MI,US
FOA,Foula Airport,,,UK
FOC,Fuzhou Changle Intl Airport,800022657,,CN
FOD,Fort Dodge Regional Airport,800048069,IA,US
FOE,Forbes Field,800048138,KS,US
FOG,Foggia Gino Lisa Airport,800044146,,IT
FOK,Francis S. Gabreski,,NY,US
FON,La Fortuna Airport,800010720,,CR
FOR,Pinto Martins Airport,800036201,,BR
FOT,Rohnerville,,CA,US
FPK,Fitch H. Beach,,MI,US
FPO,Freeport Intl Airport,800004139,,BS
FPR,St Lucie County Intl Airport,800047351,FL,US
FQD,Rutherford County (Marchman Field),,NC,US
FRA,Frankfurt am Main Airport,800025600,,DE
FRC,Franca,,,BR
FRD,Friday Harbor Airport,800051012,WA,US
FRE,Fera Airport,800541071,,SB
FRG,Republic Airport,800049401,NY,US
FRH,French Lick Municipal,,IN,US
FRI,Marshall Army Airfield (Fort Riley),,KS,US
FRL,Luigi Ridolfi Airport,800044124,,IT
FRM,Fairmont Municipal,,MN,US
FRN,Bryant Army Heliport/Bryant AAF,,AK,US
FRO,Floro Airport,800041516,,NO
FRR,Front Royal-Warren County,,VA,US
FRS,Mundo Maya Intl Airport,800033279,,GT
FRU,Bishkek Airport,800061888,,KG
FRW,Francistown Airport,800094065,,BW
FRZ,Fritzlar Air Base,,,DE
FSC,Figari Airport,800058663,,FR
FSD,Joe Foss Field Airport,800050346,SD,US
FSI,Henry Post Army Airfield (Fort Sill),,OK,US
FSK,Fort Scott Municipal,,KS,US
FSM,Ft. Smith Regional Airport,800046578,AR,US
FSO,Franklin County State,,VT,US
FSP,Saint-Pierre Airport,800273608,,PM
FSS,RAF Kinloss,,,UK
FST,Fort Stockton-Pecos County,,TX,US
FSW,Fort Madison Municipal,,IA,US
FSZ,Mt Fuji Shizuoka Airport,800072073,,JP
FTA,Futuna Airport,800541108,,VU
FTE,Comandante Armando Tola Intl Airport,800058828,,AR
FTG,Front Range,,CO,US
FTK,Godman Army Airfield,,KY,US
FTT,Elton Hensley Memorial,,MO,US
FTU,Marillac Airport,800520392,,MG
FTW,Fort Worth Meacham International,,TX,US
FTY,Fulton County (Brown Field),,GA,US
FUE,Fuerteventura Airport,800039227,,ES
FUG,Fuyang Xiguan Airport,800099732,,CN
FUJ,Goto-Fukue Airport,800157888,,JP
FUK,Fukuoka Airport,800052655,,JP
FUL,Fullerton Municipal,,CA,US
FUN,Funafuti Intl Airport,800541063,,TV
FUO,Foshan Shadi Airport,800022654,CA,CN
FUT,Pointe Vele Airport,800148935,,WF
FVE,Northern Aroostook Regional,,ME,US
FWA,Fort Wayne Intl Airport,800047975,IN,US
FWN,Sussex,,NY,US
FWQ,Rostraver,,PA,US
FWS,Fort Worth Spinks,,TX,US
FXE,Fort Lauderdale Executive,,FL,US
FXY,Forest City Municipal,,IA,US
FYJ,Fuyuan Dongji Airport,,,CN
FYM,Fayetteville Municipal,,TN,US
FYU,Fort Yukon Airport,800108526,AK,US
FYV,Drake Field,,AR,US
FZI,Panzhihua Bao`anying Airport,800068683,,CN
FZO,Bristol Filton,,,UK
FZY,Oswego County,,NY,US
GAD,Northeast Alabama Regional,,AL,US
GAE,Matmata Intl Airport,800081638,,TN
GAF,Ksar Intl Airport,800035756,,TN
GAI,Montgomery County Airpark,,MD,US
GAJ,Yamagata Airport,800100534,,JP
GAL,Edward G Pitka Sr Airport,800108528,AK,US
GAM,Gambell Airport,800108529,AK,US
GAN,Gan Intl Airport,800003444,,MV
GAO,Mariana Grajales Airport,800169877,,CU
GAT,Tallard,,,FR
GAU,Borjhar Airport,800020918,,IN
GAY,Gaya / Bodhgaya Airport,800013613,,IN
GBD,Great Bend Municipal Airport,800000693,KS,US
GBE,Sir Seretse Khama Intl Airport,800091818,,BW
GBG,Galesburg Municipal,,IL,US
GBJ,Marie-Galante Airport,800075418,,GP
GBN,Gila Bend Air Force Auxiliary,,KS,US
GBR,Walter J Koladza,,MA,US
GBT,Gorgan Airport,800160439,,IR
GBZ,Great Barrier Aerodrome,800105891,,NZ
GCC,Campbell County Airport,800051228,WY,US
GCI,Guernsey Airport,800006746,,UK
GCK,Garden City Regional Airport,800048111,KS,US
GCM,Owen Roberts Intl Airport,800095632,,KY
GCN,Grand Canyon National Park Airport,800132688,AZ,US
GCW,Grand Canyon West Airport,800050809,UT,US
GCY,Greeneville-Greene County Municipal,,TN,US
GDB,Granite Falls Municipal/Lenzen-Roe Memorial Field,,MN,US
GDE,Gode Airport,800542922,,ET
GDL,Miguel Hidalgo y Costilla Intl Airport,800067406,,MX
GDM,Gardner Municipal,,KY,US
GDN,Rebiechowo Airport,800038286,,PL
GDQ,Gondar Airport,800534575,,ET
GDT,JAGS McCartney Intl Airport,800061395,,TC
GDV,Dawson Community Airport,800001225,MT,US
GDX,Magadan Airport,800072407,,RU
GDZ,Gelendzhik Airport,800085972,,RU
GEA,Magenta Airport,800026626,,NC
GEC,Gecitkale Airport,800182894,,CY
GED,Sussex County,,DE,US
GEG,Spokane Intl Airport,800051066,WA,US
GEL,Sepe Tiaraju Airport,800518910,,BR
GEO,Timehri Airport,800033812,,GY
GER,Rafael Cabrera Airport,800168060,,CU
GES,General Santos Airport,800074789,,PH
GET,Geraldton Airport,800027235,WA,AU
GEU,Glendale Municipal,,AZ,US
GEV,Gallivare Airport,800018888,,SE
GEX,Geelong Airport (closed),800027238,VI,AU
GEY,South Big Horn County,,WY,US
GEZ,Shelbyville Municipal,,IN,US
GFA,Malmstrom Air Force Base (heliport),,MT,US
GFD,Pope Field,,IN,US
GFF,Griffith Airport,800013508,,AU
GFK,Grand Forks Intl Airport,800049734,ND,US
GFL,Floyd Bennett Memorial,,NY,US
GFN,Grafton Airport,800070928,NS,AU
GFR,Granville,,,FR
GGE,Georgetown County,,SC,US
GGG,East Texas Regional Airport,800050620,TX,US
GGI,Grinnell Regional,,IA,US
GGP,Logansport/Cass County,,IN,US
GGT,George Town - Exuma Island Airport,800002560,,BS
GGW,Glasgow Airport/Wokal Field,800117258,MT,US
GHA,Noumerat-Moufdi Zakaria Airport,800142083,,DZ
GHB,Governors Harbour - Eleuthera Airport,800382642,,BS
GHE,Garachine Airport,800417702,,PA
GHF,Giebelstadt,,,DE
GHM,Centerville Municipal,,TN,US
GHT,Ghat Airport,,,LY
GHU,Gualeguaychu,,,AR
GHW,Glenwood Municipal,,MN,US
GIB,North Front Airport,800032913,,GI
GIF,Winter Haven`s Gilbert,,FL,US
GIG,Rio de Janeiro Intl Airport,800035972,,BR
GIL,Gilgit Airport,800334507,,PK
GIR,Santiago Vila,,,CO
GIS,Gisborne Airport,800046148,,NZ
GIZ,Gizan Airport,800107497,,SA
GJA,Guanaja Airport,800428961,,HN
GJL,Jijel Ferhat Abbas Airport,800187780,,DZ
GJM,Guajara-Mirim,,,BR
GJR,Gjogur Airport,800207399,,IS
GJT,Grand Junction Regional Airport,800047146,CO,US
GKA,Goroka Airport,800079153,,PG
GKE,Geilenkirchen,,,DE
GKJ,Port Meadville,,PA,US
GKT,Gatlinburg-Pigeon Forge,,TN,US
GKY,Arlington Municipal,,TX,US
GLA,Glasgow Intl Airport,800016702,,UK
GLD,Goodland Municipal (Renner Field),,KS,US
GLE,Gainesville Municipal,,TX,US
GLF,Golfito Airport,800063825,,CR
GLH,Mid Delta Regional Airport,800048809,MS,US
GLK,Abdullah Yusuf Intl Airport,800541052,,SO
GLN,Goulimime Airport,800307689,,MA
GLO,Gloucestershire Airport,800017199,,UK
GLR,Gaylord Regional,,MI,US
GLS,Scholes International at Galveston,,TX,US
GLT,Gladstone Airport,800549966,,AU
GLV,Golovin Airport,800132665,AK,US
GLW,Glasgow Municipal,,KY,US
GLZ,Gilze-Rijen,,,NL
GMA,Gemena Airport,,,CD
GMB,Gambela Airport,800542923,,ET
GME,Gomel Airport,800022463,,BY
GMJ,Grove Municipal,,OK,US
GMP,Gimpo Intl Airport,800035800,,KR
GMR,Totegegie Airport,800541084,,PF
GMU,Greenville Downtown,,SC,US
GMZ,La Gomera Airport,800039299,,ES
GNA,Hrodna Airport,800469486,,BY
GNB,St Geoirs Airport,800030729,,FR
GND,Point Saline Intl Airport,800003062,,GD
GNF,Grenada Municipal,,MS,US
GNI,Lyudao (Green Island) Airport,800540957,,TW
GNR,Dr. Arturo Umberto Illia,,,AR
GNS,Binaka Airport,800157840,,ID
GNT,Grants-Milan Municipal,,NM,US
GNU,Goodnews Bay Airport,800108531,AK,US
GNV,Gainesville Regional Airport,800047354,FL,US
GOA,Cristoforo Colombo Airport,800044036,,IT
GOB,Goba Airport,800536931,,ET
GOH,Nuuk Airport,800089826,,GL
GOI,Dabolim Airport,800020916,,IN
GOJ,Nizhniy Novgorod Airport,800014276,,RU
GOK,Guthrie-Edmond Regional (was Guthrie Municipal),,OK,US
GOM,Goma Intl Airport,,,CD
GON,Groton - New London Airport,800047224,CT,US
GOP,Gorakhpur Airport,800093078,,IN
GOQ,Golmud Airport,800064873,,CN
GOR,Gore Airport,800542924,,ET
GOT,Landvetter Airport,800018873,,SE
GOU,Garoua Intl Airport,,,CM
GOV,Nhulunbuy Airport,800076207,,AU
GOZ,Gorna Oryahovitsa Airport,800034398,,BG
GPA,Araxos Airport,800052027,,GR
GPB,Tancredo Thomaz de Faria,,,BR
GPH,Midwest National Air Center,,MO,US
GPI,Juan Casiano Solis Airport,800527995,,CO
GPM,Grand Prairie Municipal,,TX,US
GPS,Seymour Airport,800057030,,EC
GPT,Biloxi Intl Airport,800048812,MS,US
GPZ,Grand Rapids-Itasca County Airport,800001075,MN,US
GQQ,Galion Municipal,,OH,US
GRB,Austin Straubel Intl Airport,800051145,WI,US
GRD,Greenwood County,,SC,US
GRE,Greenville Municipal,,IL,US
GRF,Gray Army Airfield (Fort Lewis),,WA,US
GRI,Central Nebraska Regional Airport,800048997,NE,US
GRJ,George Airport,800032859,,ZA
GRK,Fort Hood Regional Airport,800050599,TX,US
GRO,Girona-Costa Brava Airport,800544255,,ES
GRQ,Groningen Airport Eelde,800020526,,NL
GRR,Gerald R. Ford Intl Airport,800048607,MI,US
GRS,Grosseto (Baccarini),,,IT
GRU,Guarulhos Intl Airport,800035925,,BR
GRV,Grozny Airport,800531198,,RU
GRW,Graciosa Airport,800019576,,ZO
GRX,Federico Garcia Lorca Granada-Jaen Airport,800040125,,ES
GRY,Grimsey Airport,800061821,,IS
GRZ,Graz Thalerhof Airport,800021728,,AT
GSB,Seymour Johnson Air Force Base,,NC,US
GSE,Gothenburg City Airport,800063347,,SE
GSH,Goshen Municipal,,IN,US
GSM,Dayrestan Airport,800179683,,IR
GSO,Piedmont Triad Intl Airport,800049642,NC,US
GSP,Greenville Spartanburg Intl Airport,800050276,SC,US
GST,Gustavus Airport,800046472,AK,US
GTA,Gatokae Aerodrome,800541072,,SB
GTB,Genting,,NY,US
GTE,Groote Eylandt Airport,800149098,,AU
GTF,Great Falls Intl Airport,800048968,MT,US
GTI,Guettin,,,DE
GTN,Glentanner,,,NZ
GTO,Jalaluddin Airport,800009432,,ID
GTR,Golden Triangle Regional Airport,800048800,MS,US
GTU,Georgetown Municipal,,TX,US
GTW,Holesov,,,CZ
GUA,La Aurora Intl Airport,800009378,,GT
GUB,Guerrero Negro Airport,800085996,,MX
GUC,Crested Butte Regional Airport,800047150,CO,US
GUJ,Guaratingueta,,,BR
GUL,Goulburn,,,AU
GUM,Antonio B Won Pat Intl Airport,800004130,GQ,US
GUP,Gallup Municipal,,NM,US
GUR,Gurney Airport,800541047,,PG
GUS,Grissom Air Reserve Base,,IN,US
GUT,Guetersloh,,,DE
GUW,Atyrau Airport,800019296,,KZ
GUY,Guymon Municipal,,OK,US
GVA,Geneva (Cointrin) Intl Airport,800018139,,CH
GVE,Gordonsville Municipal,,VA,US
GVL,Lee Gilmer Memorial,,GA,US
GVQ,Genesee County,,NY,US
GVR,Coronel Altino Machado de Oliveira Airport,800036188,,BR
GVT,Majors,,TX,US
GVX,Gavle Sandviken,,,SE
GWD,Gwadar Airport,800058124,,PK
GWL,Gwalior Airport,800020908,,IN
GWO,Greenwood-Leflore,,MS,US
GWS,Glenwood Springs Municipal,,CO,US
GWT,Sylt Airport,800022899,,DE
GWW,RAF Gatow,,NC,US
GWY,Galway Airport,800027666,,IE
GXF,Sayun Airport,800369767,,YE
GXQ,Teniente Vidal,,,CL
GXY,Greeley-Weld County,,CO,US
GYA,Guayaramerin Airport,800517070,,BO
GYB,Giddings-Lee County,,TX,US
GYD,Heydar Aliyev Intl Airport,800014833,,AZ
GYE,Jose Joaquin de Olmedo Intl Airport,800095679,,EC
GYH,Donaldson Center,,SC,US
GYL,Argyle Airport,800026944,WA,AU
GYM,Gen Jose Maria Yanez Intl Airport,800062018,,MX
GYN,Santa Genoveva Airport,800036190,,BR
GYP,Gympie,,QL,AU
GYR,Phoenix Goodyear,,AZ,US
GYS,Guangyuan Airport,800094297,,CN
GYY,Gary Regional Airport,800047804,IL,US
GZA,Gaza Airport,800053370,,PS
GZH,Middleton Field,,AL,US
GZO,Nusatupe Airport,800085033,,SB
GZP,Gazipasa Airport,800035620,,TR
GZS,Abernathy Field,,,US
GZT,Sazgin Airport,800035622,,TR
HAA,Hasvik Airport,800515675,,NO
HAB,Marion County - Rankin Fite,,AL,US
HAC,Hachijo Jima Airport,800543975,,JP
HAD,Halmstad Airport,800018847,,SE
HAE,Havasupai,,IL,US
HAF,Half Moon Bay,,CA,US
HAH,Prince Said Ibrahim Intl Airport,800516403,,KM
HAI,Three Rivers Municipal (Dr. Haines Flying Field),,MI,US
HAJ,Langenhagen Airport,800097440,,DE
HAK,Haikou Meilan Intl Airport,800097715,,CN
HAM,Hamburg-Fuhlsbuttel Airport,800025275,,DE
HAN,Noi-Bai Airport,800013689,,VN
HAO,Butler County Regional,,OH,US
HAQ,Hanimaadhoo Intl Airport,800541038,,MV
HAS,Hail Airport,800076821,,SA
HAU,Haugesund Airport Karmoy,800041487,,NO
HAV,Jose Marti Intl Airport,,,CU
HAW,Haverfordwest Airport,,,UK
HAX,Hatbox Field,,OK,US
HBA,Hobart Intl Airport,800027203,,AU
HBE,Borg El Arab Airport,800107061,,EG
HBG,Bobby L. Chain Municipal,,MS,US
HBI,Harbour Island,,NC,US
HBT,Hafr Albatin Airport,800093894,,SA
HBV,Jim Hogg County,,TX,US
HBX,Hubli Airport,800094006,,IN
HCD,Hutchinson Municipal (Butler Field),,NJ,US
HCN,Hengchun Airport,800003151,,TW
HCQ,Halls Creek Airport,800027214,WA,AU
HCR,Holy Cross Airport,800108534,AK,US
HDB,Heidelberg Airport,,,DE
HDC,Hammond Northshore Regional,,LA,US
HDF,Heringsdorf Airport,800023462,,DE
HDG,Handan Airport,800094277,,CN
HDH,Dillingham Airfield,,HI,US
HDI,Hardwick Field,,TN,US
HDN,Yampa Valley Regional Airport,800047184,CO,US
HDO,Hondo Municipal,,TX,US
HDS,Hoedspruit Airport,800032833,,ZA
HDY,Hat Yai Airport,800013850,,TH
HEA,Herat Intl Airport,800520726,,AF
HEF,Manassas Regional (Harry P. Davis Field),,VA,US
HEG,Herlong,,FL,US
HEH,Heho Airport,800078038,,MM
HEK,Heihe Airport,800503500,,CN
HEL,Vantaa Airport,800032520,,FI
HEM,Helsinki-Malmi,,,FI
HER,Heraklion Airport,800035033,,GR
HET,Hohhot Baita Intl Airport,800022638,,CN
HEX,Herrara Airport,800013744,,DO
HEY,Hanchey Army Heliport,,AL,US
HEZ,Natchez-Adams County (Hardy-Anders Field),,MS,US
HFA,Haifa Airport,800035381,,IL
HFD,Brainard - Hartford,,CT,US
HFE,Hefei Luogang Intl Airport,800022642,,CN
HFF,Mackall Army Airfield,,NC,US
HFN,Hornafjordur,800082200,,IS
HFS,Hagfors Airport,800103009,,SE
HFT,Hammerfest Airport,800041492,,NO
HFY,Greenwood Municipal,,IN,US
HGA,Hargeisa Airport,800528284,,SO
HGD,Hughenden Airport,800532835,,AU
HGH,Hangzhou Xiaoshan Intl Airport,800022646,,CN
HGL,Heligoland Airport,800045955,,DE
HGN,Mae Hong Son Airport,800013826,,TH
HGO,Korhogo Airport,,,CI
HGR,Hagerstown Airport,800048370,MD,US
HGS,Hastings Airport,800106718,,SL
HGT,Hunter Army Air Field,,CA,US
HGU,Kagamuga Airport,800089766,,PG
HHE,Hachinohe,,,JP
HHG,Huntington Municipal,,IN,US
HHH,Hilton Head Airport,800050280,SC,US
HHI,Wheeler Army Airfield,,HI,US
HHN,Frankfurt-Hahn Airport,800081098,,DE
HHQ,Hua Hin Airport,800013849,,TH
HHR,Hawthorne Municipal (Jack Northrop Field),,CA,US
HIA,Huai`an Lianshui Airport,800551744,,CN
HIB,Range Regional Airport,800001078,MN,US
HID,Horn Island Airport,800540905,,AU
HIE,Mount Washington Regional,,NH,US
HIF,Hill Air Force Base,,UT,US
HII,Lake Havasu City Airport,800046519,AZ,US
HIJ,Hiroshima Airport,800041892,,JP
HIL,Shillavo Airport,800537154,,ET
HIN,Chinju Airport,800102073,,KR
HIO,Portland-Hillsboro,,OR,US
HIR,Henderson Airport,800062042,,SB
HIS,Hayman Island Airport,800052739,,AU
HIW,Hiroshima West,,,JP
HJJ,Zhijiang Airport,800146432,,CN
HJO,Hanford Municipal,,CA,US
HJR,Khajuraho Airport,800076991,,IN
HKA,Blytheville Municipal,,AR,US
HKB,Healy Lake Airport,800046473,AK,US
HKD,Hakodate Airport,800041910,,JP
HKG,Hong Kong Intl Airport,800013440,,HK
HKK,Hokitika Airport,800046150,,NZ
HKN,Hoskins Airport,800153720,,PG
HKS,Hawkins Field,,MS,US
HKT,Phuket Intl Airport,800013800,,TH
HKY,Hickory Regional Airport,800049649,NC,US
HLA,Lanseria Intl Airport,800055890,,ZA
HLB,Hillenbrand Industries,,IN,US
HLD,Hailar Dongshan Airport,800010637,,CN
HLF,Hultsfred - Vimmerby,,,SE
HLG,Wheeling Ohio County,,WV,US
HLH,Ulanhot Airport,800399071,,CN
HLM,Park Township,,MI,US
HLN,Helena Regional Airport,800048971,MT,US
HLP,Halim Perdanakusuma Airport,800014962,,ID
HLR,Hood Army Airfield,,TX,US
HLS,St Helens,,,AU
HLT,Hamilton Airport,800071571,,AU
HLW,Hluhluwe,,,ZA
HLX,Twin County,,VA,US
HLY,Holyhead Railway Station,800495963,,UK
HLZ,Hamilton (New Zealand) Airport,800027506,,NZ
HMA,Khanty-Mansiysk Airport,800514881,,RU
HMB,Sohag Intl Airport,800142307,,EG
HME,Oued Irara-Krim Belkacem Airport,800142138,,DZ
HMI,Hami (Kumul) Airport,800074933,,CN
HMN,Holloman Air Force Base,,NM,US
HMO,Gen Ignacio Pesqueira Intl Airport,800026814,,MX
HMR,Stafsberg,,,NO
HMT,Hemet Ryan,,CA,US
HMV,Hemavan Airport,800018833,,SE
HMZ,Bedford County,,PA,US
HNA,Iwate-Hanamaki Airport,800041779,,JP
HNB,Huntingburg,,IN,US
HND,Tokyo Intl (Haneda) Airport,800041650,,JP
HNG,Hienghene,,HI,US
HNH,Hoonah Airport,800046472,AK,US
HNL,Honolulu Intl Airport,800047703,HI,US
HNM,Hana Airport,800000416,HI,US
HNR,Harlan Municipal,,IA,US
HNS,Haines Airport,800108533,AK,US
HNZ,Henderson-Oxford,,NC,US
HOB,Lea County Regional Airport,800049307,NM,US
HOC,Highland County,,OH,US
HOD,Hodeidah Intl Airport,800534633,,YE
HOF,Hofuf Airport,800014115,,SA
HOG,Frank Pais Airport,,,CU
HOH,Hohenems,,,AT
HOI,Hao Airport,800541085,,PF
HOM,Homer Airport,800046474,AK,US
HON,Huron Regional Airport,800002079,SD,US
HOP,Campbell Army Airfield,,TN,US
HOQ,Plauen Airport,800025089,,DE
HOR,Horta Airport,800544067,,ZO
HOT,Memorial Field Airport,800046585,AR,US
HOU,William P. Hobby Airport,800050584,TX,US
HOV,Orsta-Volda Airport Hovden,800041261,,NO
HPA,Ha`Apai Airport,800014425,,TO
HPB,Hooper Bay Airport,800108536,AK,US
HPH,Haiphong Airport,800013690,,VN
HPN,Westchester County Airport,800049573,NY,US
HPV,Princeville,,HI,US
HPY,Baytown,,TX,US
HQM,Bowerman,,WA,US
HQU,Thomson-McDuffie County,,GA,US
HQZ,Mesquite Metro,,TX,US
HRB,Harbin Taiping Intl Airport,800022644,,CN
HRE,Harare Intl Airport,800013407,,ZW
HRG,Hurghada Airport,800041251,,EG
HRI,Mattala Rajapaksa Intl Airport,800019414,,LK
HRJ,Harnett Regional Jetport,,NC,US
HRK,Kharkov Airport,800033465,,UA
HRL,Valley Intl Airport,800050573,TX,US
HRO,Boone County Airport,800046581,AR,US
HRS,Harrismith,,,ZA
HRX,Hereford Municipal,,TX,US
HSA,Stennis International,,MS,US
HSD,Sundance Airpark,,OK,US
HSG,Saga Airport,800100503,,JP
HSI,Hastings Municipal,,NE,US
HSK,Pirineos Airport,800040031,,ES
HSL,Huslia Airport,800108538,AK,US
HSM,Horsham,,VI,AU
HSN,Zhoushan Putuoshan Airport,800093801,,CN
HSP,Ingalls Field,,VA,US
HSR,Hot Springs Municipal,,SD,US
HST,Homestead Air Reserve Base,,FL,US
HSV,Huntsville Intl Airport / Carl T Jones Field,800046420,AL,US
HTA,Chita Kadala Airport,800541261,,RU
HTG,Khatanga Airport,800289781,,RU
HTI,Hamilton Island Airport,800052558,,AU
HTL,Roscommon County,,MI,US
HTN,Hotan Airport,800161295,,CN
HTO,East Hampton,,NY,US
HTR,Hateruma,,,JP
HTS,Tri-State Airport/Milton J. Ferguson Field,800051094,WV,US
HTW,Lawrence County Airpark,,WV,US
HTY,Hatay Airport,800035727,,TR
HUA,Redstone Army Airfield,,AL,US
HUE,Humera Airport,800540989,,ET
HUF,Terre Haute Intl Airport (Hulman Field),800048037,IN,US
HUH,Huahine Airport,800032656,,PF
HUI,Hue Airport,800013686,,VN
HUL,Houlton International,,ME,US
HUM,Houma-Terrebonne,,LA,US
HUN,Hualien Airport,800015109,,TW
HUS,Hughes Airport,800108537,AK,US
HUT,Hutchinson Municipal,,KS,US
HUU,Alferez FAP David Figueroa Fernandini Airport,800557824,,PE
HUV,Hudiksvall Airport,800018815,,SE
HUW,Francisco Correa da Cruz Airport,,,BR
HUX,Bahias de Huatulco Intl Airport,800056528,,MX
HUY,Humberside Airport,800066233,,UK
HUZ,Huizhou Airport,800022634,,CN
HVB,Hervey Bay Airport,800052413,,AU
HVC,Hopkinsville-Christian County,,KY,US
HVD,Khovd Airport,,,MN
HVG,Honningsvag Airport Valan,800041473,,NO
HVN,Tweed - New Haven Airport,800047223,CT,US
HVR,Havre City-County Airport,800048970,MT,US
HVS,Hartsville Regional,,SC,US
HWD,Hayward Executive,,CA,US
HWO,North Perry,,FL,US
HWV,Brookhaven,,NY,US
HXD,Delingha Airport,,,CN
HXF,Hartford Municipal,,WI,US
HXX,Hay,,,AU
HYA,Barnstable Municipal Apt/Boardman-Polanco Field,800048464,MA,US
HYD,Rajiv Gandhi Intl Airport,800020904,,IN
HYG,Hydaburg Seaplane Base,800108539,AK,US
HYI,San Marcos Municipal,,TX,US
HYL,Hollis Seaplane Base,800132653,AK,US
HYN,Taizhou (Huangyan) Luqiao Airport,800003412,,CN
HYR,Sawyer County,,WI,US
HYS,Hays Regional Airport,800048113,KS,US
HYV,Hyvinkaa,,,FI
HYW,Conway-Horry County,,SC,US
HYX,Saginaw County H.W. Browne,,MI,US
HZB,Merville Calonne,,,FR
HZG,Hanzhoung Xiguan Airport,800022645,,CN
HZH,Liping Airport,800105894,,CN
